BirdID,FinalSB,SB_ROC,BodyMass,Stage,EP,Tissue,SiteEuth,DNAm,TLR4_RQ_proximal_intestine,TLR4_RQ_medial_intestine,TLR4_RQ_distal_intestine,TLR4_RQ_cecum
3158,3.5828935,0.138397063,21.7,Male,high,liver,CG01,1,2.602683711,3.249009585,4.34693945,9.221490774
3158,3.5828935,0.138397063,21.7,Male,high,liver,CG02,1,2.602683711,3.249009585,4.34693945,9.221490774
3158,3.5828935,0.138397063,21.7,Male,high,liver,CG03,1,2.602683711,3.249009585,4.34693945,9.221490774
3158,3.5828935,0.138397063,21.7,Male,high,liver,CG04,0,2.602683711,3.249009585,4.34693945,9.221490774
3158,3.5828935,0.138397063,21.7,Male,high,liver,CG05,0,2.602683711,3.249009585,4.34693945,9.221490774
3158,3.5828935,0.138397063,21.7,Male,high,blood,CG01,0,2.602683711,3.249009585,4.34693945,9.221490774
3158,3.5828935,0.138397063,21.7,Male,high,blood,CG02,0,2.602683711,3.249009585,4.34693945,9.221490774
3158,3.5828935,0.138397063,21.7,Male,high,blood,CG03,1,2.602683711,3.249009585,4.34693945,9.221490774
3158,3.5828935,0.138397063,21.7,Male,high,blood,CG04,0,2.602683711,3.249009585,4.34693945,9.221490774
3158,3.5828935,0.138397063,21.7,Male,high,blood,CG05,0,2.602683711,3.249009585,4.34693945,9.221490774
3158,3.5828935,0.138397063,21.7,Male,high,spleen,CG01,0,2.602683711,3.249009585,4.34693945,9.221490774
3158,3.5828935,0.138397063,21.7,Male,high,spleen,CG02,0,2.602683711,3.249009585,4.34693945,9.221490774
3158,3.5828935,0.138397063,21.7,Male,high,spleen,CG03,1,2.602683711,3.249009585,4.34693945,9.221490774
3158,3.5828935,0.138397063,21.7,Male,high,spleen,CG04,0,2.602683711,3.249009585,4.34693945,9.221490774
3158,3.5828935,0.138397063,21.7,Male,high,spleen,CG05,0,2.602683711,3.249009585,4.34693945,9.221490774
3159,NA,NA,NA,NA,NA,liver,CG01,1,0.849684999,1,2.639015822,1.265756594
3159,NA,NA,NA,NA,NA,liver,CG02,1,0.849684999,1,2.639015822,1.265756594
3159,NA,NA,NA,NA,NA,liver,CG03,1,0.849684999,1,2.639015822,1.265756594
3159,NA,NA,NA,NA,NA,liver,CG04,0,0.849684999,1,2.639015822,1.265756594
3159,NA,NA,NA,NA,NA,liver,CG05,0,0.849684999,1,2.639015822,1.265756594
3159,NA,NA,NA,NA,NA,blood,CG01,NA,0.849684999,1,2.639015822,1.265756594
3159,NA,NA,NA,NA,NA,blood,CG02,NA,0.849684999,1,2.639015822,1.265756594
3159,NA,NA,NA,NA,NA,blood,CG03,NA,0.849684999,1,2.639015822,1.265756594
3159,NA,NA,NA,NA,NA,blood,CG04,NA,0.849684999,1,2.639015822,1.265756594
3159,NA,NA,NA,NA,NA,blood,CG05,NA,0.849684999,1,2.639015822,1.265756594
3159,NA,NA,NA,NA,NA,spleen,CG01,NA,0.849684999,1,2.639015822,1.265756594
3159,NA,NA,NA,NA,NA,spleen,CG02,NA,0.849684999,1,2.639015822,1.265756594
3159,NA,NA,NA,NA,NA,spleen,CG03,NA,0.849684999,1,2.639015822,1.265756594
3159,NA,NA,NA,NA,NA,spleen,CG04,NA,0.849684999,1,2.639015822,1.265756594
3159,NA,NA,NA,NA,NA,spleen,CG05,NA,0.849684999,1,2.639015822,1.265756594
3160,1.5291535,0.077783208,23.5,Female,high,liver,CG01,NA,0.366021424,0.632878297,0.829319546,3.580100284
3160,1.5291535,0.077783208,23.5,Female,high,liver,CG02,NA,0.366021424,0.632878297,0.829319546,3.580100284
3160,1.5291535,0.077783208,23.5,Female,high,liver,CG03,NA,0.366021424,0.632878297,0.829319546,3.580100284
3160,1.5291535,0.077783208,23.5,Female,high,liver,CG04,0,0.366021424,0.632878297,0.829319546,3.580100284
3160,1.5291535,0.077783208,23.5,Female,high,liver,CG05,0,0.366021424,0.632878297,0.829319546,3.580100284
3160,1.5291535,0.077783208,23.5,Female,high,blood,CG01,0,0.366021424,0.632878297,0.829319546,3.580100284
3160,1.5291535,0.077783208,23.5,Female,high,blood,CG02,0,0.366021424,0.632878297,0.829319546,3.580100284
3160,1.5291535,0.077783208,23.5,Female,high,blood,CG03,0,0.366021424,0.632878297,0.829319546,3.580100284
3160,1.5291535,0.077783208,23.5,Female,high,blood,CG04,0,0.366021424,0.632878297,0.829319546,3.580100284
