,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capture,Capture,Capture,Capture,Capture,6h,6h,6h,6h,6h,d01,d01,d01,d01,d01,d06,d06,d06,d06,d06,d09,d09,d09,d09,d09,d12,d12,d12,d12,d12,Euth,Euth,Euth,Euth,Euth
Bird ID,Stage,Body Mass,Epigenetic Potential,EP Count,Average Salmo Burden,Final Salmo Burden,Daily Rate of Change SB,Average Liver DNAm,Variance Liver DNAm,Average Spleen DNAm,Variance Spleen DNAm,Average Blood DNAm,Variance Blood DNAm,BLOOD Change in DNAm per day,Liver CpG 5,Liver CpG 4,Liver CpG 3,Liver CpG 2,Liver CpG 1,Spleen CpG 5,Spleen CpG 4,Spleen CpG 3,Spleen CpG 2,Spleen CpG 1,Blood CpG 5,Blood CpG 4,Blood CpG 3,Blood CpG 2,Blood CpG 1,CpG 5,CpG 4,CpG 3,CpG 2,CpG 1,CpG 5,CpG 4,CpG 3,CpG 2,CpG 1,CpG 5,CpG 4,CpG 3,CpG 2,CpG 1,CpG 5,CpG 4,CpG 3,CpG 2,CpG 1,CpG 5,CpG 4,CpG 3,CpG 2,CpG 1,CpG 5,CpG 4,CpG 3,CpG 2,CpG 1,CpG 5,CpG 4,CpG 3,CpG 2,CpG 1
3171,Juvenile,20.2,high,9,3.908069,4.342514,0.28963,0.6,0.3,NA,NA,NA,NA,-0.791111111,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,NA,NA,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1
3173,Female,21.8,low,7,0,0,0,0.6,0.3,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3174,Male,24.1,high,8,2.641596,4.258258,0.4041655,0.6,0.3,0.4,0.3,0.4,0.3,-0.8,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0
3176,Male,NA,low,7,1.947361667,3.1537145,0.282169833,0.6,0.3,0,0,NA,NA,1.56,0,0,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,NA,NA,NA,NA,NA
3178,Male,23.2,high,8,2.0662855,3.223489,0.16574735,0.8,0.2,0.2,0.2,0.4,0.3,0.3,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1
3179,Male,21.5,high,8,2.325636,2.199252,-0.126384,0.8,0.2,0,0,0.4,0.3,0.76,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
3180,Juvenile,22.2,low,6,2.413402667,2.8482865,-0.026841972,0.6,0.3,0.4,0.3,0.2,0.2,1.36,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3181,Juvenile,23.8,low,7,1.944289833,3.5381325,0.150794104,0.6,0.3,0.2,0.2,0.2,0.2,-0.573333333,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
3182,Female,23.6,low,7,2.8272225,5.0547405,0.547883417,0.4,0.3,NA,NA,0.4,0.3,-1.5,0,0,0,1,1,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,1,1,?,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1
3184,Female,22.7,high,8,0.981050667,1.027567,0.031303444,0.8,0.2,0,0,0.4,0.3,0.522222222,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,NA,NA,1,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1
3185,Male,24.7,high,8,NA,NA,NA,0.6,0.3,NA,NA,NA,NA,NA,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3186,Female,21.4,low,7,2.94109975,3.1273845,0.181384444,0.6,0.3,NA,NA,NA,NA,0.64,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
3187,Male,24.8,low,7,2.857063167,4.1331905,0.408115,0.6,0.3,0.6,0.3,0.2,0.2,-0.046666667,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0
3188,Juvenile,19.9,low,7,3.318277,4.726932,NA,0,0,0.4,0.3,NA,NA,NA,0,0,0,0,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,NA,NA,NA,NA,NA
3190,Male,24,high,8,1.9562261,3.6276545,0.163520271,0.6,0.3,0.4,0.3,0.2,0.2,-0.066666667,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
3191,Male,22.1,high,9,2.436551125,2.1505415,-0.135892056,0.6,0.3,0.6,0.3,0.2,0.2,0.293333333,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,0,0,1
3192,Female,21.1,low,7,3.03983725,3.4881055,0.14942275,0.6,0.3,0.2,0.2,0.2,0.2,-1.433333333,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
